CMDLINE /usr/bin/python main-copy2.py
MEM 128.660156 1543575001.8219
MEM 128.660156 1543575001.9224
MEM 128.660156 1543575002.0229
MEM 128.660156 1543575002.1234
MEM 128.660156 1543575002.2238
MEM 128.660156 1543575002.3242
MEM 128.660156 1543575002.4247
MEM 128.660156 1543575002.5251
MEM 128.660156 1543575002.6266
MEM 128.660156 1543575002.7272
MEM 128.660156 1543575002.8277
MEM 128.660156 1543575002.9282
MEM 128.660156 1543575003.0287
MEM 128.660156 1543575003.1291
MEM 128.660156 1543575003.2296
MEM 128.660156 1543575003.3300
MEM 128.660156 1543575003.4305
MEM 128.660156 1543575003.5309
MEM 128.660156 1543575003.6313
MEM 128.660156 1543575003.7317
MEM 128.660156 1543575003.8322
MEM 128.660156 1543575003.9326
MEM 128.660156 1543575004.0331
MEM 128.660156 1543575004.1337
MEM 128.660156 1543575004.2342
MEM 128.660156 1543575004.3347
MEM 128.660156 1543575004.4351
MEM 128.660156 1543575004.5356
MEM 128.660156 1543575004.6361
MEM 128.660156 1543575004.7366
MEM 128.660156 1543575004.8372
MEM 128.660156 1543575004.9377
MEM 128.660156 1543575005.0381
MEM 128.660156 1543575005.1386
